identifier,lines
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",going forward. Prof. Jayanth R. Varma expressed reservations on this part of the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",resolution.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","18.   The minutes of the MPC’s meeting will be published on October 22, 2021."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","19.   The next meeting of the MPC is scheduled during December 6 to 8, 2021."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Voting on the Resolution to keep the policy repo rate unchanged at 4.0 per cent
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Member                                                    Vote
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Dr. Shashanka Bhide                                       Yes
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Dr. Ashima Goyal                                          Yes
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Prof. Jayanth R. Varma                                    Yes
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Dr. Mridul K. Saggar                                      Yes
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Dr. Michael Debabrata Patra                               Yes
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Shri Shaktikanta Das                                      Yes
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Statement by Dr. Shashanka Bhide
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",20.     A number of indicators now point to recovery of economic activity from the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",severest shock of the second wave of the Covid 19 pandemic the country suffered in
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",the first two months of the present financial year. The estimates of GDP for Q1: 2021-
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",22 by the National Statistical Office (NSO) point to year-on-year (yoy) increase of
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",20.1 per cent in this period of the second wave. This sharp rise in GDP reflects a
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",substantially smaller economic impact of the second wave than in the first wave as
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","relative to Q1: 2019-20, GDP in the first quarter of the current financial year is lower"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",by 9.2 per cent compared to the decline of 24.4 per cent in Q1: 2020-21 during the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",first wave. These patterns highlight the extent of the negative impact of the pandemic
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",and the challenge of rebuilding the economy considering the fact that some sectors
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",have suffered far more than others.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","21.    At a disaggregate level, all major components of GDP, the private final"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","consumption expenditure (PFCE), gross fixed investment (GFCF) and exports have"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","increased sharply by 19.3 per cent, 55.3 per cent and 39.1 per cent, respectively, in"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Q1: FY 2022, year on year basis. As in the case of aggregate GDP, PFCE and GFCF"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",are below their pre-pandemic levels in Q1: 2019-20. The Government Final
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Consumption Expenditure (GFCE) declined in Q1: 2021-22 over the same period in
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","2020-21, as it had increased substantially in the latter period. Exports are now above"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",the pre-pandemic level seen in Q1: 2019-20. Imports rose sharply in Q1: 2021-22 but
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",remained below the level seen in Q1: 2019-20.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",22.     The supply side disruptions during the second wave of the pandemic were
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",slightly less stringent from the first wave as these disruptions were not at the national
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",level but state level or even more localised. This helped reduce the constraints on the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",supply side but the demand side weakness remained slower to overcome due to the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",significant income and employment losses. Some of these differences in the nature
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",of economic recovery are reflected in the present uneven pattern of growth.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",23.    While return to the pre-pandemic level of economic activity is to be expected
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","when the restrictions on the supply side are liberalised, pace of this return to"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",normalcy would depend on the factors affecting supply as well as demand. On the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","supply side, in the presence of adequate demand, expansion may be constrained by"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","the supply of inputs, rise in the prices of inputs besides the need for new investments"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",to do business in the new environment. If the pace of this recovery is slower on the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","supply side, prices would rise if demand grows more quickly. If the supply rises more"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","quickly, price rise may be muted, although in both the cases, the exogenous price"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",shocks from the external sector including crude oil and commodity markets impart
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",upside risks to the outlook.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","24.    Excluding the data for April 2021, for which the yoy growth rates were"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","exceptionally high, the Index of Industrial Production (IIP-General), while registering"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","double digit growth rates in May and June of 2021, was still below the level of 2019"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","for the same two months. However, in July 2021, the IIP was above the level two"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",years back in the case of mining and electricity and the IIP-General was only 0.3 per
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",cent below the level in July 2019. The trend is clearly one of catching up with the pre-
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",pandemic levels of industrial activity. There are patterns that also suggest weaker
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","output growth in certain sectors. In July 2021, IIP for Consumer goods was lower"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","than in July 2019, particularly for Consumer durables; it was marginally higher than"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",the pre-pandemic levels of July 2019 for primary and capital goods; between 2 and
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",2.5 per cent in the case of intermediate goods and infrastructure/ construction
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",sectors.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",25.    It is also important to recognise sectors in the non-IT services that are in the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",early stages of recovery. The MSME and informal sector enterprises face greater
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",challenges in operating in conditions in which input price pressures are significant
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",and consumer demand is still recovering.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",26.    While rural demand is expected to be buoyant in the light of higher Kharif crop
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","output projected in the First Advance Estimates for 2021, the sales of tractors and"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",motor cycles – proxies for rural demand conditions - show divergent pattern for April-
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",August 2021 over the levels seen in 2019 for the same period. Tractor sales have
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",increased sharply and motor cycle sales show a negative growth. In the case of
