"","identifier","lines"
"25959","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","73.     As foretold in December 2019, the MPC has entered what I call the tunnel of"
"25960","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","testing trade-offs (TTT) and it may be a while before the light at the end of the tunnel"
"25961","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","is sighted."
"25962","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","74.    Economic activity remains weak: there are indications of the momentum of"
"25963","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","growth stabilising, with sector-specific upticks underlying this guarded optimism, but"
"25964","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","they are far from gaining economy-wide traction. In some sectors, the slowdown is"
"25965","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","deep, and activity is stalled by sizable slack in demand. High frequency indicators are"
"25966","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","not offering definitive evidence yet that the downturn is bottoming out."
"25967","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","75.     Global growth remains subdued. What seemed to be a synchronised downturn"
"25968","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","only a few months ago, is getting decoupled across jurisdictions. Until recently,"
"25969","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","emerging economies were cushioning the loss of pace in global growth. Now these"
"25970","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","economies are confronted with a downward slant in the balance of risks either from"
"25971","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","self-inflicted wounds or global spillovers. This is currently the big cloud on the outlook"
"25972","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","for the global economy. Overall, headwinds from the global economy continue to"
"25973","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","blow strongly, darkening the prospects for all economies, including India. The"
"25974","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","coronavirus outbreak has imparted new and uncertain risks in response to which the"
"25975","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","world is grappling to fashion a credible response. The implications for India are yet to"
"25976","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","unravel."
"25977","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","76.     As in December, a monetary policy response to the state of the economy is"
"25978","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","stifled by higher than expected elevation in inflation. The breach in the upper"
"25979","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","tolerance band of the MPC’s inflation target band in the December print may well"
"25980","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","recur in the months ahead."
"25981","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","77.    The pre-emptive easing of monetary policy since February 2019 is now turning"
"25982","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","out to be fortuitous. Over the 12 months ahead horizon, the forecasts are indicating"
"25983","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","some let-up in inflationary pressures, but it is not yet clear as to when and how the"
"25984","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","current inflation surge will bottom. Monetary policy has headroom to respond to the"
"25985","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25986","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","                                           16"
"25987","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25988","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","evolving macroeconomic configuration, but a good fix is needed on the shape of the"
"25989","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","inflation hump it has chosen to look through. Hardening prices of proteins and pulses"
"25990","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","and a range of cost pushes to core inflation are new and ominous risks to the inflation"
"25991","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","outlook if they persist."
"25992","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","78.    Incoming data will have to be carefully parsed for this purpose. The endeavour"
"25993","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","now should be to improve transmission of the cumulative 135 bps rate reduction"
"25994","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","effected since February 2019 and seize the opportunity when it opens up to act"
"25995","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","judiciously and effectively to support the economy."
"25996","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","79.    It is in this context that I vote for maintaining status quo on the policy rate and"
"25997","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","to persevere with the accommodative stance of monetary policy until growth revives"
"25998","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","on a durable basis."
"25999","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","80.     The Union Budget has proposed several initiatives to revitalize the economy"
"26000","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","within the envelope of pragmatic fiscal prudence. These are significant positives for"
"26001","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","the medium-term growth and stability outlook. Monetary policy will complement the"
"26002","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","fiscal impulse and boost it going forward."
"26003","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"26004","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"26005","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Statement by Shri Shaktikanta Das"
"26006","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","81.     Since the last policy in December 2019, economic activity has slowed down"
"26007","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","further with the GDP growth estimated to moderate to 5 per cent for 2019-20. CPI"
"26008","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","inflation surged in December to its highest reading since July 2014, driven by a spike"
"26009","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","in food inflation, an uptick in fuel inflation and firming up of inflation excluding food"
"26010","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","and fuel from its October trough. Global economic activity has also slowed down and"
"26011","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","the prospects have weakened even further with the outbreak of coronavirus as China"
"26012","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","is the second largest economy and it is a key player in global supply chain. Central"
"26013","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","banks in several advanced and emerging market economies have held their policy"
"26014","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","rates."
"26015","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","82.     Headline CPI inflation increased for the fifth consecutive month to 7.4 per cent"
"26016","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","in December 2019 as food prices, particularly those of vegetables, surged. Inflation in"
"26017","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","vegetables shot up to 60.5 per cent in December from 36.1 per cent in November"
"26018","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","largely due to a spike in onion prices, caused by damage to kharif crop from"
